Step,v_hf_bsurf,v_hf_bsolv
18360,1.63185E+11,24553110000
18380,-83199898000,31644366000
18400,-53716848000,20455381000
18420,96556630000,-1356209800
18440,-59320421000,23955412000
18460,85514234000,-11736977000
18480,-1.69132E+11,-700987710
18500,47939363000,-45039262000
18520,22658709000,-25217740000
18540,-1.24268E+11,-57275358000
18560,1.49969E+11,28287131000
18580,-75658271000,13950720000
18600,78466474000,8622500500
18620,-67075918000,-5811445200
18640,-70481586000,11878695000
18660,86033916000,-11956847000
18680,-1.44006E+11,-13438182000
18700,1.3672E+11,787246330
18720,-1.04919E+11,3636844800
18740,49581218000,14297968000
18760,20776622000,-4949466000
18780,-81359452000,15962780000
18800,1.42365E+11,-34283709000
18820,-1.43043E+11,-6260672700
18840,67315342000,-3837970800
18860,-1941766900,-43683775000
18880,-33590527000,-36414437000
18900,30844858000,18615684000
